Date,Open,High,Low,Close,Adj Close,Volume
05-07-2017,143.69,144.79,142.72,144.09,142.43,21569600
06-07-2017,143.02,143.50,142.41,142.73,141.09,24128800
07-07-2017,142.90,144.75,142.90,144.18,142.52,19201700
10-07-2017,144.11,145.95,143.37,145.06,143.39,21090600
11-07-2017,144.73,145.85,144.38,145.53,143.85,19781800
12-07-2017,145.87,146.18,144.82,145.74,144.06,24884500
13-07-2017,145.50,148.49,145.44,147.77,146.07,25199400
14-07-2017,147.97,149.33,147.33,149.04,147.32,20132100
17-07-2017,148.82,150.90,148.57,149.56,147.84,23793500
18-07-2017,149.20,150.13,148.67,150.08,148.35,17868800
19-07-2017,150.48,151.42,149.95,151.02,149.28,20923000
20-07-2017,151.50,151.74,150.19,150.34,148.61,17243700
21-07-2017,149.99,150.44,148.88,150.27,148.54,26252600
24-07-2017,150.58,152.44,149.90,152.09,150.34,21493200
25-07-2017,151.80,153.84,151.80,152.74,150.98,18853900
26-07-2017,153.35,153.93,153.06,153.46,151.69,15781000
27-07-2017,153.75,153.99,147.30,150.56,148.83,32476300
28-07-2017,149.89,150.23,149.19,149.50,147.78,17213700
31-07-2017,149.90,150.33,148.13,148.73,147.02,19845900
01-08-2017,149.10,150.22,148.41,150.05,148.32,35368600
02-08-2017,159.28,159.75,156.16,157.14,155.33,69936800
03-08-2017,157.05,157.21,155.02,155.57,153.78,27097300
04-08-2017,156.07,157.40,155.69,156.39,154.59,20559900
07-08-2017,157.06,158.92,156.67,158.81,156.98,21870300
08-08-2017,158.60,161.83,158.27,160.08,158.24,36205900
09-08-2017,159.26,161.27,159.11,161.06,159.21,26131500
10-08-2017,159.90,160.00,154.63,155.32,154.14,40804300
11-08-2017,156.60,158.57,156.07,157.48,156.28,26257100
14-08-2017,159.32,160.21,158.75,159.85,158.63,22122700
15-08-2017,160.66,162.20,160.14,161.60,160.37,29465500
16-08-2017,161.94,162.51,160.15,160.95,159.72,27671600
17-08-2017,160.52,160.71,157.84,157.86,156.66,27940600
18-08-2017,157.86,159.50,156.72,157.50,156.30,27428100
21-08-2017,157.50,157.89,155.11,157.21,156.01,26368500
22-08-2017,158.23,160.00,158.02,159.78,158.56,21604600
23-08-2017,159.07,160.47,158.88,159.98,158.76,19399100
24-08-2017,160.43,160.74,158.55,159.27,158.06,19818900
25-08-2017,159.65,160.56,159.27,159.86,158.64,25480100
28-08-2017,160.14,162.00,159.93,161.47,160.24,25966000
29-08-2017,160.10,163.12,160.00,162.91,161.67,29516900
30-08-2017,163.80,163.89,162.61,163.35,162.10,27269600
31-08-2017,163.64,164.52,163.48,164.00,162.75,26785100
01-09-2017,164.80,164.94,163.63,164.05,162.80,16591100
05-09-2017,163.75,164.25,160.56,162.08,160.84,29468500
06-09-2017,162.71,162.99,160.52,161.91,160.67,21651700
07-09-2017,162.09,162.24,160.36,161.26,160.03,21928500
08-09-2017,160.86,161.15,158.53,158.63,157.42,28611500
11-09-2017,160.50,162.05,159.89,161.50,160.27,31085900
12-09-2017,162.61,163.96,158.77,160.86,159.63,71714000
