Date,Open,High,Low,Close,Adj Close,Volume
08-05-2017,152.80,153.47,152.20,153.03,148.47,7492000
09-05-2017,152.60,153.10,151.56,152.11,147.58,6853000
10-05-2017,151.65,152.37,151.13,151.25,146.74,4999900
11-05-2017,151.05,151.15,149.79,150.65,146.16,5627900
12-05-2017,150.30,151.26,150.00,150.37,145.89,3715300
15-05-2017,150.62,151.83,150.45,151.51,146.99,4245500
16-05-2017,151.66,153.99,151.66,153.68,149.10,5513700
17-05-2017,153.30,154.14,150.89,150.93,146.43,5191500
18-05-2017,150.86,151.33,150.11,150.78,146.29,3274200
19-05-2017,151.01,152.46,150.89,151.98,147.45,5643000
22-05-2017,152.10,152.84,151.60,152.64,148.09,3302100
23-05-2017,152.57,153.68,151.92,152.03,147.50,2564500
24-05-2017,152.21,152.76,151.23,152.51,147.97,3732400
25-05-2017,153.25,153.73,152.95,153.20,148.63,2582700
26-05-2017,152.85,153.00,152.06,152.49,147.95,2443300
30-05-2017,151.95,152.67,151.59,151.73,147.21,3666000
31-05-2017,152.03,152.80,151.65,152.63,148.08,3543400
01-06-2017,152.80,152.87,151.63,152.67,148.12,2918100
02-06-2017,153.07,153.20,151.80,152.05,147.52,3585700
05-06-2017,151.82,152.93,151.68,152.41,147.87,3975100
06-06-2017,152.00,152.89,152.00,152.37,147.83,3797200
07-06-2017,153.05,154.20,150.80,150.98,146.48,4865700
08-06-2017,151.00,152.82,150.92,152.10,147.57,3709000
09-06-2017,152.00,154.26,151.88,154.10,149.51,4361500
12-06-2017,154.19,157.20,154.02,155.18,150.56,6471500
13-06-2017,155.44,155.48,154.15,154.25,149.65,3523500
14-06-2017,153.97,154.94,152.94,153.81,149.23,3049100
15-06-2017,153.29,154.69,153.29,154.22,149.62,4654300
16-06-2017,154.23,155.42,152.97,155.38,150.75,6742000
19-06-2017,155.51,155.86,154.54,154.84,150.23,4629500
20-06-2017,154.48,155.39,154.25,154.95,150.33,4481700
21-06-2017,155.79,155.79,153.39,153.79,149.21,3959700
22-06-2017,154.55,154.99,153.69,154.40,149.80,2376500
23-06-2017,154.34,154.68,153.80,154.11,149.52,3282200
26-06-2017,154.71,155.75,154.63,155.23,150.60,2153500
27-06-2017,155.00,155.34,154.50,154.75,150.14,2386500
28-06-2017,155.15,155.55,154.78,155.32,150.69,2221000
29-06-2017,155.35,155.74,153.62,154.13,149.54,3262200
30-06-2017,154.28,154.50,153.14,153.83,149.25,3571500
03-07-2017,153.58,156.03,153.52,155.58,150.94,2822500
05-07-2017,155.77,155.89,153.63,153.67,149.09,3564400
06-07-2017,153.36,153.83,152.23,152.36,147.82,2757500
07-07-2017,152.62,153.49,152.14,152.94,148.38,2460100
10-07-2017,152.91,153.89,152.63,153.42,148.85,3206200
11-07-2017,153.26,153.65,152.05,153.19,148.62,3447500
12-07-2017,153.48,154.24,153.05,153.70,149.12,3097900
13-07-2017,153.70,154.19,153.19,153.63,149.05,2476100
14-07-2017,154.01,154.62,153.40,154.24,149.64,3256400
17-07-2017,153.59,153.88,152.24,153.01,148.45,4762600
18-07-2017,152.36,154.29,152.00,154.00,149.41,7566800
19-07-2017,150.02,150.25,146.71,147.53,143.13,14293600
20-07-2017,147.53,148.83,147.03,147.66,143.26,7212200
21-07-2017,147.59,147.87,146.51,147.08,142.70,6509500
24-07-2017,147.00,147.04,145.80,145.99,141.64,3877600
25-07-2017,146.57,147.49,146.03,146.19,141.83,4208900
26-07-2017,146.27,146.46,144.47,145.36,141.03,3932400
27-07-2017,145.00,145.40,143.64,145.07,140.75,6430800
28-07-2017,144.81,145.04,143.84,144.29,139.99,3054800
31-07-2017,144.38,144.93,144.17,144.67,140.36,4355700
01-08-2017,145.00,145.67,144.72,145.30,140.97,3219500
02-08-2017,145.12,145.29,144.22,144.45,140.15,3540900
03-08-2017,144.43,145.34,144.43,144.94,140.62,3035400
04-08-2017,145.00,145.39,144.40,145.16,140.83,2549400
07-08-2017,145.00,145.09,142.75,143.47,139.19,4618300
08-08-2017,142.00,142.76,142.00,142.11,139.33,3298700
09-08-2017,141.75,142.03,141.19,141.77,139.00,2925800
