Date,Open,High,Low,Close,Adj Close,Volume
17-05-2017,78.54,78.78,77.63,77.67,75.86,2208700
18-05-2017,77.38,77.94,76.81,77.55,75.74,2534400
19-05-2017,77.66,78.53,77.35,78.25,76.43,2293200
22-05-2017,78.31,78.79,78.21,78.55,76.72,1386600
23-05-2017,78.75,78.79,78.09,78.14,76.32,2977000
24-05-2017,78.11,78.61,77.91,78.28,76.46,1424900
25-05-2017,78.51,78.88,77.22,77.42,75.62,2765100
26-05-2017,77.63,77.91,77.15,77.44,75.64,2300400
30-05-2017,77.28,77.68,76.82,77.00,75.21,1920200
31-05-2017,76.90,77.23,76.00,76.11,74.34,3842300
01-06-2017,76.38,76.71,75.90,76.62,74.84,2503800
02-06-2017,76.17,76.81,75.85,76.37,74.59,2150900
05-06-2017,76.19,77.23,76.19,76.86,75.07,2251900
06-06-2017,76.69,77.10,76.32,77.04,75.25,1707200
07-06-2017,76.64,77.16,76.35,76.96,75.17,2556000
08-06-2017,76.96,77.94,76.80,77.40,75.60,2427900
09-06-2017,77.36,79.70,77.30,79.57,77.72,2832800
12-06-2017,79.57,80.48,79.57,80.21,78.34,2971200
13-06-2017,80.29,80.73,79.90,80.63,78.75,1843100
14-06-2017,80.59,80.64,78.75,78.78,76.95,2810800
15-06-2017,78.61,79.38,78.53,79.08,77.24,2157300
16-06-2017,79.43,80.98,79.21,80.94,79.05,4870900
19-06-2017,80.99,81.52,80.85,81.24,79.35,2757400
20-06-2017,80.30,80.60,78.91,79.55,77.70,2299700
21-06-2017,79.55,79.77,78.63,78.89,77.05,2073900
22-06-2017,79.02,79.41,78.63,78.91,77.07,1016100
23-06-2017,78.82,80.37,78.80,80.27,78.40,2696600
26-06-2017,80.28,80.65,80.06,80.24,78.37,1512900
27-06-2017,80.39,81.30,80.24,80.54,78.66,1653900
28-06-2017,81.00,82.13,80.99,81.79,79.89,2317500
29-06-2017,82.10,82.82,81.79,81.87,79.96,2514000
30-06-2017,82.32,83.11,81.92,82.69,80.76,2458700
03-07-2017,82.97,83.87,82.92,83.34,81.40,1076900
05-07-2017,83.25,83.25,82.15,82.33,80.41,1974200
06-07-2017,82.40,82.60,81.69,81.89,79.98,1590800
07-07-2017,81.92,82.82,81.55,82.60,80.68,1710800
10-07-2017,82.48,82.87,82.33,82.46,80.54,1498700
11-07-2017,82.28,82.75,81.91,82.36,80.44,1365400
