Date,Open,High,Low,Close,Adj Close,Volume
25-08-2017,923.49,925.55,915.50,915.89,915.89,1053400
28-08-2017,916.00,919.24,911.87,913.81,913.81,1086500
29-08-2017,905.10,923.33,905.00,921.29,921.29,1185600
30-08-2017,920.05,930.82,919.65,929.57,929.57,1301200
31-08-2017,931.76,941.98,931.76,939.33,939.33,1582600
01-09-2017,941.13,942.48,935.15,937.34,937.34,947400
05-09-2017,933.08,937.00,921.96,928.45,928.45,1326400
06-09-2017,930.15,930.91,919.27,927.81,927.81,1527700
07-09-2017,931.73,936.41,923.62,935.95,935.95,1212700
08-09-2017,936.49,936.99,924.88,926.50,926.50,1011500
11-09-2017,934.25,938.38,926.92,929.08,929.08,1267000
12-09-2017,932.59,933.48,923.86,932.07,932.07,1134400
13-09-2017,930.66,937.25,929.86,935.09,935.09,1102600
14-09-2017,931.25,932.77,924.00,925.11,925.11,1397600
15-09-2017,924.66,926.49,916.36,920.29,920.29,2505400
18-09-2017,920.01,922.08,910.60,915.00,915.00,1306900
19-09-2017,917.42,922.42,912.55,921.81,921.81,936700
20-09-2017,922.98,933.88,922.00,931.58,931.58,1669800
21-09-2017,933.00,936.53,923.83,932.45,932.45,1290600
22-09-2017,927.75,934.73,926.48,928.53,928.53,1052700
25-09-2017,925.45,926.40,909.70,920.97,920.97,1856800
26-09-2017,923.72,930.82,921.14,924.86,924.86,1666900
27-09-2017,927.74,949.90,927.74,944.49,944.49,2239400
28-09-2017,941.36,950.69,940.55,949.50,949.50,1020300
29-09-2017,952.00,959.79,951.51,959.11,959.11,1581000
02-10-2017,959.98,962.54,947.84,953.27,953.27,1283400
03-10-2017,954.00,958.00,949.14,957.79,957.79,888300
04-10-2017,957.00,960.39,950.69,951.68,951.68,952400
05-10-2017,955.49,970.91,955.18,969.96,969.96,1213800
06-10-2017,966.70,979.46,963.36,978.89,978.89,1173900
09-10-2017,980.00,985.42,976.11,977.00,977.00,891400
10-10-2017,980.00,981.57,966.08,972.60,972.60,968400
11-10-2017,973.72,990.71,972.25,989.25,989.25,1693300
12-10-2017,987.45,994.12,985.00,987.83,987.83,1262400
13-10-2017,992.00,997.21,989.00,989.68,989.68,1169800
16-10-2017,992.10,993.91,984.00,992.00,992.00,910500
17-10-2017,990.29,996.44,988.59,992.18,992.18,1290200
18-10-2017,991.77,996.72,986.97,992.81,992.81,1057600
19-10-2017,986.00,988.88,978.39,984.45,984.45,1313600
20-10-2017,989.44,991.00,984.58,988.20,988.20,1183200
23-10-2017,989.52,989.52,966.12,968.45,968.45,1478400
24-10-2017,970.00,972.23,961.00,970.54,970.54,1212200
25-10-2017,968.37,976.09,960.52,973.33,973.33,1211300
26-10-2017,980.00,987.60,972.20,972.56,972.56,2042100
27-10-2017,1009.19,1048.39,1008.20,1019.27,1019.27,5167700
30-10-2017,1014.00,1024.97,1007.50,1017.11,1017.11,2085100
31-10-2017,1015.22,1024.00,1010.42,1016.64,1016.64,1330700
01-11-2017,1017.21,1029.67,1016.95,1025.50,1025.50,1373400
02-11-2017,1021.76,1028.09,1013.01,1025.58,1025.58,1049000
03-11-2017,1022.11,1032.65,1020.31,1032.48,1032.48,1076400
06-11-2017,1028.99,1034.87,1025.00,1025.90,1025.90,1125200
07-11-2017,1027.27,1033.97,1025.13,1033.33,1033.33,1112300
08-11-2017,1030.52,1043.52,1028.45,1039.85,1039.85,1088700
09-11-2017,1033.99,1033.99,1019.67,1031.26,1031.26,1245200
10-11-2017,1026.46,1030.76,1025.28,1028.07,1028.07,720000
13-11-2017,1023.42,1031.58,1022.57,1025.75,1025.75,885800
14-11-2017,1022.59,1026.81,1014.15,1026.00,1026.00,959200
15-11-2017,1019.21,1024.09,1015.42,1020.91,1020.91,854000
16-11-2017,1022.52,1035.92,1022.52,1032.50,1032.50,1129700
17-11-2017,1034.01,1034.42,1017.75,1019.09,1019.09,1397100
20-11-2017,1020.26,1022.61,1017.50,1018.38,1018.38,953500
21-11-2017,1023.31,1035.11,1022.66,1034.49,1034.49,1097000
22-11-2017,1035.00,1039.71,1031.43,1035.96,1035.96,746300
24-11-2017,1035.87,1043.18,1035.00,1040.61,1040.61,537000
27-11-2017,1040.00,1055.46,1038.44,1054.21,1054.21,1307900
28-11-2017,1055.09,1062.38,1040.00,1047.41,1047.41,1424400
29-11-2017,1042.68,1044.08,1015.65,1021.66,1021.66,2459400
30-11-2017,1022.37,1028.49,1015.00,1021.41,1021.41,1724000
01-12-2017,1015.80,1022.49,1002.02,1010.17,1010.17,1909600
04-12-2017,1012.66,1016.10,995.57,998.68,998.68,1906400
05-12-2017,995.94,1020.61,988.28,1005.15,1005.15,2067300
06-12-2017,1001.50,1024.97,1001.14,1018.38,1018.38,1272000
07-12-2017,1020.43,1034.24,1018.07,1030.93,1030.93,1458200
08-12-2017,1037.49,1042.05,1032.52,1037.05,1037.05,1290800
11-12-2017,1035.50,1043.80,1032.05,1041.10,1041.10,1192800
12-12-2017,1039.63,1050.31,1033.69,1040.48,1040.48,1279500
13-12-2017,1046.12,1046.67,1038.38,1040.61,1040.61,1282700
14-12-2017,1045.00,1058.50,1043.11,1049.15,1049.15,1558700
15-12-2017,1054.61,1067.62,1049.50,1064.19,1064.19,3275900
18-12-2017,1066.08,1078.49,1062.00,1077.14,1077.14,1554600
19-12-2017,1075.20,1076.84,1063.55,1070.68,1070.68,1338700
20-12-2017,1071.78,1073.38,1061.52,1064.95,1064.95,1268600
21-12-2017,1064.95,1069.33,1061.79,1063.63,1063.63,995700
22-12-2017,1061.11,1064.20,1059.44,1060.12,1060.12,755100
26-12-2017,1058.07,1060.12,1050.20,1056.74,1056.74,760600
27-12-2017,1057.39,1058.37,1048.05,1049.37,1049.37,1271900
28-12-2017,1051.60,1054.75,1044.77,1048.14,1048.14,837100
29-12-2017,1046.72,1049.70,1044.90,1046.40,1046.40,887500
02-01-2018,1048.34,1066.94,1045.23,1065.00,1065.00,1237600
03-01-2018,1064.31,1086.29,1063.21,1082.48,1082.48,1430200
04-01-2018,1088.00,1093.57,1084.00,1086.40,1086.40,1004600
05-01-2018,1094.00,1104.25,1092.00,1102.23,1102.23,1279100
08-01-2018,1102.23,1111.27,1101.62,1106.94,1106.94,1047600
09-01-2018,1109.40,1110.57,1101.23,1106.26,1106.26,902500
10-01-2018,1097.10,1104.60,1096.11,1102.61,1102.61,1042800
11-01-2018,1106.30,1106.53,1099.59,1105.52,1105.52,978300
12-01-2018,1102.41,1124.29,1101.15,1122.26,1122.26,1720500
16-01-2018,1132.51,1139.91,1117.83,1121.76,1121.76,1575300
17-01-2018,1126.22,1132.60,1117.01,1131.98,1131.98,1202600
18-01-2018,1131.41,1132.51,1117.50,1129.79,1129.79,1198200
19-01-2018,1131.83,1137.86,1128.30,1137.51,1137.51,1778200
22-01-2018,1137.49,1159.88,1135.11,1155.81,1155.81,1618000
23-01-2018,1159.85,1171.63,1158.75,1169.97,1169.97,1333100
24-01-2018,1177.33,1179.86,1161.05,1164.24,1164.24,1416600
25-01-2018,1172.53,1175.94,1162.76,1170.37,1170.37,1480500
26-01-2018,1175.08,1175.84,1158.11,1175.84,1175.84,2018800
29-01-2018,1176.48,1186.89,1171.98,1175.58,1175.58,1378900
30-01-2018,1167.83,1176.52,1163.52,1163.69,1163.69,1556300
31-01-2018,1170.57,1173.00,1159.13,1169.94,1169.94,1538700
01-02-2018,1162.61,1174.00,1157.52,1167.70,1167.70,2412100
02-02-2018,1122.00,1123.07,1107.28,1111.90,1111.90,4857900
05-02-2018,1090.60,1110.00,1052.03,1055.80,1055.80,3798300
06-02-2018,1027.18,1081.71,1023.14,1080.60,1080.60,3448000
07-02-2018,1081.54,1081.78,1048.26,1048.58,1048.58,2369200
08-02-2018,1055.41,1058.62,1000.66,1001.52,1001.52,2859100
09-02-2018,1017.25,1043.97,992.56,1037.78,1037.78,3505900
12-02-2018,1048.00,1061.50,1040.93,1051.94,1051.94,2057700
13-02-2018,1045.00,1058.37,1044.09,1052.10,1052.10,1265100
14-02-2018,1048.95,1071.72,1046.75,1069.70,1069.70,1555800
15-02-2018,1079.07,1091.48,1064.34,1089.52,1089.52,1843400
16-02-2018,1088.41,1104.67,1088.31,1094.80,1094.80,1681600
20-02-2018,1090.57,1113.95,1088.52,1102.46,1102.46,1423100
21-02-2018,1106.47,1133.97,1106.33,1111.34,1111.34,1512900
22-02-2018,1116.19,1122.82,1102.59,1106.63,1106.63,1317200
23-02-2018,1112.64,1127.28,1104.71,1126.79,1126.79,1261000
26-02-2018,1127.80,1143.96,1126.69,1143.75,1143.75,1559100
27-02-2018,1141.24,1144.04,1118.00,1118.29,1118.29,1774100
28-02-2018,1123.03,1127.53,1103.24,1104.73,1104.73,1882600
01-03-2018,1107.87,1110.12,1067.00,1069.52,1069.52,2515900
02-03-2018,1053.08,1082.00,1048.11,1078.92,1078.92,2271600
05-03-2018,1075.14,1097.10,1069.00,1090.93,1090.93,1202200
06-03-2018,1099.22,1101.85,1089.78,1095.06,1095.06,1532800
07-03-2018,1089.19,1112.22,1085.48,1109.64,1109.64,1292500
08-03-2018,1115.32,1127.60,1112.80,1126.00,1126.00,1355100
09-03-2018,1136.00,1160.80,1132.46,1160.04,1160.04,2128000
12-03-2018,1163.85,1177.05,1157.42,1164.50,1164.50,2172300
13-03-2018,1170.00,1176.76,1133.33,1138.17,1138.17,1907200
14-03-2018,1145.21,1158.59,1141.44,1149.49,1149.49,1291400
15-03-2018,1149.96,1161.08,1134.54,1149.58,1149.58,1395400
